,trip_length,trip_start_time,trip_end_time,trip_duration,ev,ev_id,trip_speed,trip_energy_consumption,trip_required_soc,ev_battery_size,trip_estimate_arrival,profile,trip_id,covered_distance
0,5.185,2019-01-01 08:05:00,2019-01-01 08:10:13.299882,0 days 00:05:13.299882,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.578701016592404,0.8296,0.011817663817663818,70.2,2019-01-01 08:10:13.299882,"N:Residential1, T:Short",fabcb145e4eaa4e6ad3c196572eebfbb,5.185
1,5.185,2019-01-01 18:24:00,2019-01-01 18:29:10.890180,0 days 00:05:10.890180,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.040494030572894,0.8296,0.011817663817663818,70.2,2019-01-01 18:29:10.890180,"N:Residential1, T:Short",f2d2e1cf83c62709d9ecb92f2d7ab3df,5.185
2,5.42,2019-01-02 07:55:00,2019-01-02 08:00:21.717384,0 days 00:05:21.717384,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.64950466566069,0.8672,0.012353276353276352,70.2,2019-01-02 08:00:21.717384,"N:Residential1, T:Short",3474e7d0fe9f9202ac043896018941c6,5.42
3,5.42,2019-01-02 18:33:00,2019-01-02 18:38:21.534602,0 days 00:05:21.534602,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.68398191816776,0.8672,0.012353276353276352,70.2,2019-01-02 18:38:21.534602,"N:Residential1, T:Short",31c6ec71ee17404637b47e0eb46a2776,5.42
4,5.29,2019-01-03 08:03:00,2019-01-03 08:08:15.605042,0 days 00:05:15.605042,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.34124129094111,0.8464,0.012056980056980056,70.2,2019-01-03 08:08:15.605042,"N:Residential1, T:Short",67a1d595eb61253a413ab536784b9033,5.29
5,5.29,2019-01-03 18:34:00,2019-01-03 18:39:13.675546,0 days 00:05:13.675546,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.71241517958981,0.8464,0.012056980056980056,70.2,2019-01-03 18:39:13.675546,"N:Residential1, T:Short",aabbc0c294705d93e3616e240a6c2c84,5.29
6,5.23,2019-01-04 08:04:00,2019-01-04 08:09:12.722468,0 days 00:05:12.722468,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.206739059066464,0.8368000000000001,0.011920227920227922,70.2,2019-01-04 08:09:12.722468,"N:Residential1, T:Short",529b95b774a72755418b4e788a5f41bd,5.23
7,5.23,2019-01-04 18:26:00,2019-01-04 18:31:14.188565,0 days 00:05:14.188565,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.92579643039901,0.8368000000000001,0.011920227920227922,70.2,2019-01-04 18:31:14.188565,"N:Residential1, T:Short",5c3a73746d274cf8a1d4914870b520c7,5.23
8,5.37,2019-01-05 08:02:00,2019-01-05 08:07:18.686804,0 days 00:05:18.686804,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.66143864326686,0.8592000000000001,0.01223931623931624,70.2,2019-01-05 08:07:18.686804,"N:Residential1, T:Short",e7c76c79df63bd27e590919c64d7f437,5.37
9,5.37,2019-01-05 18:33:00,2019-01-05 18:38:21.301560,0 days 00:05:21.301560,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.16777511053085,0.8592000000000001,0.01223931623931624,70.2,2019-01-05 18:38:21.301560,"N:Residential1, T:Short",b290e3504677c5fea53458e5fcde7ef4,5.37
10,5.43,2019-01-06 08:00:00,2019-01-06 08:05:27.883138,0 days 00:05:27.883138,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.618802418559014,0.8688,0.012376068376068377,70.2,2019-01-06 08:05:27.883138,"N:Residential1, T:Short",93e0641e6f9cdb1ea5c004d083d6ff19,5.43
11,5.43,2019-01-06 18:32:00,2019-01-06 18:37:21.540880,0 days 00:05:21.540880,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.79475804115312,0.8688,0.012376068376068377,70.2,2019-01-06 18:37:21.540880,"N:Residential1, T:Short",b3e698d0e5e5e9443683ba7e889daa83,5.43
12,5.005,2019-01-07 07:58:00,2019-01-07 08:03:01.849754,0 days 00:05:01.849754,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.69194850460307,0.8008,0.011407407407407406,70.2,2019-01-07 08:03:01.849754,"N:Residential1, T:Short",720a39efc6f3e66a3ab8ae2def2ea93a,5.005
13,5.005,2019-01-07 18:25:00,2019-01-07 18:29:55.428526,0 days 00:04:55.428526,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.989371173028225,0.8008,0.011407407407407406,70.2,2019-01-07 18:29:55.428526,"N:Residential1, T:Short",60a08dbb3f8bc9798fe216739e65ab1c,5.005
14,5.21,2019-01-08 08:04:00,2019-01-08 08:09:09.003855,0 days 00:05:09.003855,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.69827196800445,0.8336,0.011874643874643874,70.2,2019-01-08 08:09:09.003855,"N:Residential1, T:Short",fa60964f383e2bc88ddd7adb48976a56,5.21
15,5.21,2019-01-08 18:28:00,2019-01-08 18:33:11.931681,0 days 00:05:11.931681,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.12855095424342,0.8336,0.011874643874643874,70.2,2019-01-08 18:33:11.931681,"N:Residential1, T:Short",c4c18eb4098e34a85bef909642568bdc,5.21
16,5.325,2019-01-09 08:03:00,2019-01-09 08:08:18.206251,0 days 00:05:18.206251,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.24394540956661,0.8520000000000001,0.012136752136752138,70.2,2019-01-09 08:08:18.206251,"N:Residential1, T:Short",8d437a76cdf53e5954b4f3cdb4b6bdb4,5.325
17,5.325,2019-01-09 18:32:00,2019-01-09 18:37:17.064115,0 days 00:05:17.064115,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.460957641701654,0.8520000000000001,0.012136752136752138,70.2,2019-01-09 18:37:17.064115,"N:Residential1, T:Short",a6fdb5c2634058345713d62e3322ed3f,5.325
18,5.1,2019-01-10 08:03:00,2019-01-10 08:08:07.333164,0 days 00:05:07.333164,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.73972932421604,0.816,0.011623931623931622,70.2,2019-01-10 08:08:07.333164,"N:Residential1, T:Short",89bb2f6999ad8e5d8572feac02b24664,5.1
19,5.1,2019-01-10 18:31:00,2019-01-10 18:36:01.959126,0 days 00:05:01.959126,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.8029313057297,0.816,0.011623931623931622,70.2,2019-01-10 18:36:01.959126,"N:Residential1, T:Short",96c939d61d2a0db5e95d47f5f01b485a,5.1
20,5.2,2019-01-11 07:59:00,2019-01-11 08:04:11.907796,0 days 00:05:11.907796,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.01773682313872,0.8320000000000001,0.011851851851851853,70.2,2019-01-11 08:04:11.907796,"N:Residential1, T:Short",ccbaa580176a87769c4883985ca9e7e8,5.2
21,5.2,2019-01-11 18:32:00,2019-01-11 18:37:11.796819,0 days 00:05:11.796819,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.039098788458546,0.8320000000000001,0.011851851851851853,70.2,2019-01-11 18:37:11.796819,"N:Residential1, T:Short",0490dd4a19adfa47d42486e9ef3e2213,5.2
22,5.16,2019-01-12 07:57:00,2019-01-12 08:02:06.736235,0 days 00:05:06.736235,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.56017470069703,0.8256,0.01176068376068376,70.2,2019-01-12 08:02:06.736235,"N:Residential1, T:Short",f13406fc934dcbd0394913eaf4e47594,5.16
23,5.16,2019-01-12 18:33:00,2019-01-12 18:38:06.469496,0 days 00:05:06.469496,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.61288397834418,0.8256,0.01176068376068376,70.2,2019-01-12 18:38:06.469496,"N:Residential1, T:Short",1dc0878e7ca076a80eb36aa284bb2241,5.16
24,5.25,2019-01-13 07:58:00,2019-01-13 08:03:11.919643,0 days 00:05:11.919643,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.5925290444206,0.84,0.011965811965811965,70.2,2019-01-13 08:03:11.919643,"N:Residential1, T:Short",eda8055461abc48f3baf615266858052,5.25
25,5.25,2019-01-13 18:26:00,2019-01-13 18:31:18.635614,0 days 00:05:18.635614,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.31540340116881,0.84,0.011965811965811965,70.2,2019-01-13 18:31:18.635614,"N:Residential1, T:Short",c65cc0acd2ac0a652f0edb540d85653a,5.25
26,5.11,2019-01-14 08:00:00,2019-01-14 08:05:11.469564,0 days 00:05:11.469564,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.061950675564766,0.8176000000000001,0.011646723646723648,70.2,2019-01-14 08:05:11.469564,"N:Residential1, T:Short",64ac071257f6f0b79f5ba50d5a92ea94,5.11
27,5.11,2019-01-14 18:32:00,2019-01-14 18:37:10.049455,0 days 00:05:10.049455,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,59.33247008421778,0.8176000000000001,0.011646723646723648,70.2,2019-01-14 18:37:10.049455,"N:Residential1, T:Short",fdb7118c642a8f47d7ae2faf3d8ef83b,5.11
28,5.415,2019-01-15 07:56:00,2019-01-15 08:01:22.049295,0 days 00:05:22.049295,BMW 530e with 70.2 kWh battery,ceeb844204ff3cf4f2617084dc5e54b4,60.53110601364912,0.8664000000000001,0.012341880341880343,70.2,2019-01-15 08:01:22.049295,"N:Residential1, T:Short",4557053f231ac7a425ab77a5af2c8630,5.415
