PeriodEnd,PeriodStart,Period,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2018-05-31T01:00:00Z,2018-05-31T00:30:00Z,PT30M,17.0,0.06,6,0.0,13.8,0,0,0,0,0,0,21.8,81.3,0.0,1019.3,19,3.0,125
2018-05-31T01:30:00Z,2018-05-31T01:00:00Z,PT30M,16.9,0.06,-3,7.6,14.1,0,0,0,0,0,0,21.8,83.4,0.0,1019.2,20,3.0,126
2018-05-31T02:00:00Z,2018-05-31T01:30:00Z,PT30M,16.8,0.06,-11,51.1,14.4,0,0,0,0,0,0,21.8,85.6,0.0,1019.0,20,3.0,125
2018-05-31T02:30:00Z,2018-05-31T02:00:00Z,PT30M,16.7,0.06,-20,51.9,14.7,0,0,0,0,0,0,21.9,87.8,0.0,1018.8,21,3.0,123
2018-05-31T03:00:00Z,2018-05-31T02:30:00Z,PT30M,16.6,0.06,-27,51.6,15.0,0,0,0,0,0,0,21.9,90.0,0.0,1018.6,21,3.0,121
2018-05-31T03:30:00Z,2018-05-31T03:00:00Z,PT30M,16.6,0.06,-34,51.9,15.1,0,0,0,0,0,0,21.9,91.2,0.0,1018.5,21,3.0,117
2018-05-31T04:00:00Z,2018-05-31T03:30:00Z,PT30M,16.5,0.06,-41,51.3,15.1,0,0,0,0,0,0,21.9,91.4,0.0,1018.4,21,3.1,114
2018-05-31T04:30:00Z,2018-05-31T04:00:00Z,PT30M,16.5,0.06,-47,51.8,15.1,0,0,0,0,0,0,21.9,91.6,0.0,1018.3,22,3.3,109
2018-05-31T05:00:00Z,2018-05-31T04:30:00Z,PT30M,16.5,0.06,-52,51.9,15.1,0,0,0,0,0,0,21.9,91.7,0.0,1018.2,22,3.4,104
2018-05-31T05:30:00Z,2018-05-31T05:00:00Z,PT30M,16.4,0.06,-57,51.5,15.1,0,0,0,0,0,0,21.9,91.9,0.0,1018.2,22,3.5,99
2018-05-31T06:00:00Z,2018-05-31T05:30:00Z,PT30M,16.4,0.06,-61,51.2,15.1,0,0,0,0,0,0,21.9,92.1,0.0,1018.1,22,3.6,94
2018-05-31T06:30:00Z,2018-05-31T06:00:00Z,PT30M,16.4,0.06,-65,48.9,15.1,10,0,0,10,9,10,21.9,92.1,0.0,1018.1,23,3.7,88
2018-05-31T07:00:00Z,2018-05-31T06:30:00Z,PT30M,16.4,0.06,-69,53.0,15.1,39,0,0,39,37,39,21.9,92.1,0.0,1018.3,24,3.7,82
2018-05-31T07:30:00Z,2018-05-31T07:00:00Z,PT30M,16.4,0.06,-73,55.7,15.1,83,0,0,83,78,83,21.9,92.0,0.0,1018.5,26,3.8,76
